rank,gene,score
310,GLDN,0.062431368976831436
311,SEMA3E,0.062372608340425684
312,C2CD6,0.062113886269239305
313,OSBPL3,0.06168069368914553
314,PLCXD3,0.061510340884478376
315,STPG2,0.061450502663327966
316,KCNIP1,0.06137170652065416
317,LRRIQ3,0.06123840979167394
318,CD74,0.061058269982988134
319,NTRK2,0.06086711574112336
320,BACE2,0.06081205436320447
321,TBXAS1,0.060766333270640516
322,SORCS3,0.060742570060517476
323,NRXN1,0.06072332844469164
324,AGMO,0.060675084590911865
325,PID1,0.06063244866829959
326,ABTB2,0.06018415944916866
327,CA8,0.059771337969736604
328,TRPM3,0.05975987943058314
329,GPRIN3,0.059742795924345615
330,RASGRF1,0.05967160439680491
331,ZNF385D,0.05936471062401927
332,KCNQ3,0.0593407485273576
333,RIPOR2,0.05933199639905962
334,TRHDE,0.05890277922153475
335,DLGAP1,0.05886634316369521
336,PLEK,0.05885198712348938
337,PLD5,0.05870504801472032
338,RAB3C,0.05866536997597327
339,RORA,0.05847960846368172
340,KCNK1,0.05834277719259262
341,LYZ,0.05819714069366455
342,CHSY3,0.057827761298731795
343,EGLN3,0.05776245865652907
344,MT2A,0.05749287332756853
345,CNTNAP2,0.05728591397384564
346,RASGRF2,0.05724149469345341
347,CADM3,0.057032824930925874
348,SUGCT,0.05699343591704409
349,SLC2A3,0.05695460637410488
350,EDNRB,0.056730269772210073
351,CNTN1,0.056726629677821105
352,HS3ST4,0.05657358964284265
353,MYLK,0.056518353649233743
354,CACNA1C,0.05642616318619775
355,CCSER1,0.05641875835565424
356,HLA-DRB1,0.05617830902338028
357,TENM3,0.05616095463757398
358,SHISA6,0.056033428219901205
359,KCNIP4,0.055587554674202955
360,MMP16,0.055507291640554124
361,DNAH14,0.05545022297236657
362,PDE3A,0.055285415715641495
363,FLRT2,0.054714887364186615
364,BMPER,0.054578761259714725
365,ETV6,0.05451654930676475
366,LRRC7,0.0543825969713575
367,SLC2A9,0.054203409455244045
368,CTSB,0.05409379755812027
369,MDH1,0.054053238497342115
370,TNFAIP8,0.053961663186049225
371,CARD11,0.05372440814971924
372,UNC5C,0.05364536770752493
373,ADAMTSL3,0.05347227479020761
374,TNFAIP3,0.05334563851356511
375,ZNF804B,0.05324863484411524
376,KCND2,0.05317772448038849
377,UST,0.05316137846985225
378,EFNA5,0.0529569254494181
