cell_type,disease,distance,ontology,method,scope,n_genes,n_annotated,n_ref_genes,mean,median,std,max,skew,p10,p25,p75,p90,p95,bestmatch_mean,bestmatch_median,bestmatch_max
da_neurons,parkinson,wang,BP,all_methods,all,60,58,184,0.16976187465289125,0.1599381667547135,0.10530164976254539,0.710709109207691,0.6517293226172636,0.0398579517845936,0.09747350282404223,0.23103868098667507,0.31043909846816425,0.36151574377700113,0.47441895715063725,0.4921452514619401,0.710709109207691
da_neurons,parkinson,wang,BP,all_methods,annotated,58,58,184,0.17561573239954267,0.16393484504534267,0.10218986172312088,0.710709109207691,0.7237354902296174,0.05627988941183393,0.1042202666885615,0.23377452108559102,0.31293719600575737,0.36357912630392175,0.490778231535142,0.492690736930074,0.710709109207691
microglia,parkinson,wang,BP,attention_zero_shot,all,30,27,184,0.1631353262951521,0.15446991243806973,0.1146653995554832,0.728949375486731,0.776941476406131,0.0,0.09061226370596083,0.22525066689550555,0.31373871473401826,0.3721661873166129,0.481976226551675,0.5047223814562369,0.728949375486731
microglia,parkinson,wang,BP,attention_zero_shot,annotated,27,27,184,0.18126147366128012,0.1652051468612462,0.10641187741857529,0.728949375486731,0.9645026180637657,0.06150229526620525,0.1129710518332635,0.23412568915542079,0.32422232018794417,0.3807519989672828,0.5355291406129722,0.5267993535198896,0.728949375486731
microglia,parkinson,wang,BP,ig_lora,all,30,28,184,0.16331332506266213,0.15793565831257836,0.10327185762363204,1.0,0.6096163191314844,0.0,0.09779262663784938,0.22364719922922688,0.29283591414512644,0.3423383411363751,0.4624618951337866,0.48836329711795684,1.0
microglia,parkinson,wang,BP,ig_lora,annotated,28,28,184,0.17497856256713798,0.16607221189567006,0.09687982901807915,1.0,0.7703545873498217,0.05909102842822546,0.11161340152405086,0.22967493111128998,0.29841634829661606,0.34608701140995224,0.4954948876433427,0.4933311773102773,1.0
microglia,parkinson,wang,BP,all_methods,all,60,55,184,0.1632243256789071,0.1560787491055861,0.10911747402234656,1.0,0.708931378229003,0.0,0.09399292807040219,0.22464776840307332,0.302715183708815,0.35608693669053265,0.4722190608427308,0.48836329711795684,1.0
microglia,parkinson,wang,BP,all_methods,annotated,55,55,184,0.17806290074062595,0.16574620151383895,0.101719436214785,1.0,0.8895777019162319,0.06007352550316998,0.11228304920171206,0.23183578059034296,0.3100534317785336,0.36128422280095485,0.5151480663738881,0.5001252136723856,1.0
oligodendrocytes,parkinson,wang,BP,attention_zero_shot,all,30,26,184,0.14714832883219855,0.14077143477422702,0.11372798153938907,1.0,0.904516682286972,0.0,0.059328831753926885,0.21286936480392527,0.28924613384866615,0.34646044892349687,0.47914858837198576,0.5048632119383472,1.0
oligodendrocytes,parkinson,wang,BP,attention_zero_shot,annotated,26,26,184,0.16978653326792142,0.15845682194122246,0.10526274727051793,1.0,1.0813936941271682,0.048704908076741216,0.09781050835370461,0.225158763008376,0.3040076367665544,0.3612197601737624,0.5528637558138297,0.5249468905004151,1.0
