cell_type,method,gene,ontology,annotated
astrocytes,ig_lora,PPP1R3C,CC,True
astrocytes,ig_lora,NR4A3,CC,True
astrocytes,ig_lora,CEBPD,CC,True
astrocytes,ig_lora,DUSP1,CC,True
astrocytes,ig_lora,CHI3L1,CC,True
astrocytes,ig_lora,GADD45G,CC,True
astrocytes,ig_lora,F13A1,CC,True
da_neurons,attention_zero_shot,CYP4F12,CC,True
da_neurons,attention_zero_shot,CCL4,CC,True
da_neurons,attention_zero_shot,IL1B,CC,True
da_neurons,attention_zero_shot,GPR183,CC,True
da_neurons,attention_zero_shot,P2RY12,CC,True
da_neurons,attention_zero_shot,CH25H,CC,True
da_neurons,attention_zero_shot,CD69,CC,True
da_neurons,attention_zero_shot,F13A1,CC,True
da_neurons,attention_zero_shot,ARHGAP28,CC,True
da_neurons,attention_zero_shot,PAX3,CC,True
da_neurons,attention_zero_shot,GLI3,CC,True
da_neurons,attention_zero_shot,PLAC8,CC,True
da_neurons,attention_zero_shot,CD163,CC,True
da_neurons,attention_zero_shot,RHOJ,CC,True
da_neurons,attention_zero_shot,CPED1,CC,True
da_neurons,attention_zero_shot,THSD7B,CC,True
da_neurons,attention_zero_shot,SLCO1C1,CC,True
da_neurons,attention_zero_shot,CA12,CC,True
da_neurons,attention_zero_shot,PRDM6,CC,True
da_neurons,attention_zero_shot,KYNU,CC,True
da_neurons,attention_zero_shot,CENPF,CC,True
da_neurons,attention_zero_shot,BMPER,CC,True
da_neurons,attention_zero_shot,RGS1,CC,True
da_neurons,attention_zero_shot,KCNE4,CC,True
da_neurons,attention_zero_shot,COL27A1,CC,True
da_neurons,attention_zero_shot,HCK,CC,True
da_neurons,attention_zero_shot,ARMC3,CC,True
da_neurons,attention_zero_shot,SNCAIP,CC,True
da_neurons,attention_zero_shot,THEMIS,CC,True
da_neurons,attention_zero_shot,TBXAS1,CC,True
da_neurons,ig_lora,ETNPPL,CC,True
da_neurons,ig_lora,CD163,CC,True
da_neurons,ig_lora,ANGPTL4,CC,True
da_neurons,ig_lora,PLEK,CC,True
da_neurons,ig_lora,IL1B,CC,True
da_neurons,ig_lora,SRGN,CC,True
da_neurons,ig_lora,GALNT15,CC,True
da_neurons,ig_lora,ID3,CC,True
da_neurons,ig_lora,GLDN,CC,True
da_neurons,ig_lora,SPOCD1,CC,True
da_neurons,ig_lora,MS4A4A,CC,True
da_neurons,ig_lora,GADD45G,CC,True
da_neurons,ig_lora,OLR1,CC,True
da_neurons,ig_lora,PPP1R3C,CC,True
da_neurons,ig_lora,ADM,CC,True
da_neurons,ig_lora,CLEC5A,CC,True
da_neurons,ig_lora,HES1,CC,True
da_neurons,ig_lora,ID2,CC,True
da_neurons,ig_lora,TYK2,CC,True
da_neurons,ig_lora,MND1,CC,True
da_neurons,ig_lora,CCL3,CC,True
da_neurons,ig_lora,OPALIN,CC,True
da_neurons,ig_lora,SVEP1,CC,True
da_neurons,ig_lora,DUSP1,CC,True
da_neurons,ig_lora,AHCYL1,CC,True
da_neurons,ig_lora,COL27A1,CC,True
da_neurons,ig_lora,CH25H,CC,True
da_neurons,ig_lora,SERPINE1,CC,True
da_neurons,ig_lora,PPP1R14A,CC,True
da_neurons,ig_lora,CLEC7A,CC,True
microglia,attention_zero_shot,GEM,CC,True
microglia,attention_zero_shot,LAMA4,CC,True
microglia,attention_zero_shot,SLCO1C1,CC,True
microglia,attention_zero_shot,CH25H,CC,True
microglia,attention_zero_shot,SPOCD1,CC,True
microglia,attention_zero_shot,IGFBP7,CC,True
microglia,attention_zero_shot,C1orf87,CC,True
microglia,attention_zero_shot,NXPH1,CC,True
microglia,attention_zero_shot,CD83,CC,True
microglia,attention_zero_shot,ARHGAP28,CC,True
microglia,attention_zero_shot,RGS6,CC,True
microglia,attention_zero_shot,IL1B,CC,True
microglia,attention_zero_shot,TMC1,CC,True
microglia,attention_zero_shot,VCAN,CC,True
microglia,attention_zero_shot,SLC24A3,CC,True
microglia,attention_zero_shot,DEPDC1B,CC,False
microglia,attention_zero_shot,ANGPTL4,CC,True
microglia,attention_zero_shot,PPARGC1A,CC,True
microglia,attention_zero_shot,SEL1L3,CC,True
microglia,attention_zero_shot,FRMPD2,CC,True
microglia,attention_zero_shot,SERPINI2,CC,True
microglia,attention_zero_shot,PAK5,CC,True
microglia,attention_zero_shot,CCDC85A,CC,True
microglia,attention_zero_shot,EMP1,CC,True
microglia,attention_zero_shot,ALDH1L1,CC,True
microglia,attention_zero_shot,EYA1,CC,True
microglia,attention_zero_shot,LAMA1,CC,True
microglia,attention_zero_shot,TNFAIP3,CC,True
microglia,attention_zero_shot,ANGPT1,CC,True
microglia,attention_zero_shot,GALNT15,CC,True
microglia,ig_lora,MS4A4A,CC,True
microglia,ig_lora,GLDN,CC,True
microglia,ig_lora,CD163,CC,True
microglia,ig_lora,SPOCD1,CC,True
microglia,ig_lora,CHI3L1,CC,True
microglia,ig_lora,SVEP1,CC,True
microglia,ig_lora,COL21A1,CC,True
microglia,ig_lora,SLC7A11,CC,True
microglia,ig_lora,COL27A1,CC,True
microglia,ig_lora,GAP43,CC,True
microglia,ig_lora,OLR1,CC,True
microglia,ig_lora,SLC2A3,CC,True
microglia,ig_lora,SV2C,CC,True
microglia,ig_lora,SERPINE1,CC,True
microglia,ig_lora,ETNPPL,CC,True
microglia,ig_lora,SLC39A12,CC,True
microglia,ig_lora,ATP6V0D2,CC,True
microglia,ig_lora,APOE,CC,True
microglia,ig_lora,SNCG,CC,True
microglia,ig_lora,CD83,CC,True
microglia,ig_lora,APOC1,CC,True
microglia,ig_lora,AQP4,CC,True
microglia,ig_lora,TPD52L1,CC,True
microglia,ig_lora,ID2,CC,True
microglia,ig_lora,TNFRSF11B,CC,True
microglia,ig_lora,SPP1,CC,True
microglia,ig_lora,SLC11A1,CC,True
microglia,ig_lora,VGF,CC,True
microglia,ig_lora,GPAT3,CC,True
microglia,ig_lora,RANBP3L,CC,True
oligodendrocytes,attention_zero_shot,CCL4,CC,True
oligodendrocytes,attention_zero_shot,ITGA4,CC,True
oligodendrocytes,attention_zero_shot,MARCO,CC,True
oligodendrocytes,attention_zero_shot,FGL1,CC,True
oligodendrocytes,attention_zero_shot,CCL3,CC,True
